RK,NAME,KEEP?,POS,POS_RK,TEAM,AGE,SALARY,FP
343,Sean Couturier,N,C,99,PHI,31,CAD 7.8,227.8
344,Nicolas Hague,N,D,109,VGK,25,CAD 2.3,222.1
345,Dylan Samberg,N,D,125,WPG,25,CAD 1.4,212.7
346,Rasmus Sandin,N,D,139,WSH,24,CAD 4.6,204.3
347,Jordan Spence,N,D,150,LAK,23,CAD 1.5,198.2
348,Connor Zary,N,C/RW,88,CGY,22,CAD 0.9,193.9
349,Erik Cernak,N,D,106,TBL,27,CAD 5.2,225.7
350,Brandon Carlo,N,D,100,BOS,27,CAD 4.1,229.5
351,Josh Norris,N,C,85,OTT,25,CAD 8.0,249.5
352,TJ Brodie,N,D,123,CHI,34,CAD 3.8,213.7
353,Jesperi Kotkaniemi,N,C,106,CAR,24,CAD 4.8,221.2
354,Nick Jensen,N,D,118,OTT,33,CAD 4.1,216.8
355,Kevin Korchinski,N,D,146,CHI,20,CAD 0.9,199.4
356,Shane Wright,N,C,104,SEA,20,CAD 0.9,223.8
357,Connor McMichael,N,C,111,WSH,23,CAD 2.1,213.4
358,Alec Martinez,N,D,87,CHI,37,CAD 4.0,239.5
359,William Borgen,N,D,131,SEA,27,CAD 2.7,206.8
360,Nick Perbix,N,D,144,TBL,26,CAD 1.1,201.0
361,Trent Frederic,N,C/RW,85,BOS,26,CAD 2.3,200.9
362,Rutger McGroarty,N,RW,84,PIT,20,CAD 1.0,201.0
363,Nick Leddy,N,D,141,STL,33,CAD 4.0,202.6
364,Max Domi,N,C,135,TOR,29,CAD 3.8,184.6
365,Nicolas Roy,N,C/RW,87,VGK,27,CAD 3.0,194.1
366,Nick Paul,N,C/LW,79,TBL,29,CAD 3.2,228.7
367,Cutter Gauthier,N,LW,85,ANA,20,CAD 1.0,212.8
368,Dan Vladar,N,G,35,CGY,26,CAD 2.2,150.8
369,Filip Chytil,N,C,121,NYR,24,CAD 4.4,201.6
370,Erik Brannstrom,N,D,153,COL,25,CAD 0.9,190.6
371,Lukas Dostal,N,G,38,ANA,24,CAD 0.8,141.7
372,Jackson LaCombe,N,D,130,ANA,23,CAD 0.9,208.2
373,Carson Soucy,N,D,132,VAN,30,CAD 3.3,206.7
374,Yegor Chinakhov,N,RW,86,CBJ,23,CAD 2.1,197.2
375,Dmitry Kulikov,N,D,147,FLA,33,CAD 1.2,199.4
376,Danton Heinen,N,LW,84,VAN,29,CAD 2.3,215.1
377,Ryan Lindgren,N,D,149,NYR,26,CAD 4.5,198.8
378,Martin Fehervary,N,D,101,WSH,24,CAD 2.7,227.4
379,Ian Cole,N,D,135,UTA,35,CAD 3.1,205.3
380,Pavel Dorofeyev,N,LW,99,VGK,23,CAD 1.8,201.6
381,Ty Emberson,N,D,137,EDM,24,CAD 1.0,204.6
382,Yanni Gourde,N,C,112,SEA,32,CAD 5.2,211.9
383,Logan Thompson,,G,37,WSH,27,CAD 0.8,143.3
384,Alex Newhook,N,C,123,MTL,23,CAD 2.9,200.6
385,Niko Mikkola,N,D,134,FLA,28,CAD 2.5,205.4
386,Alex Lyon,N,G,39,DET,31,CAD 0.9,140.3
